CÓDIGO,PRODUCTO,MARCA,DESCRIPCIÓN,CANT. EMPAQUE,P. LISTA,PROMOCIÓN,DESCUENTO
P3232904,KIT ROTOMARTILLO M18 FUEL BRUSHLESS ,Milwaukee,"1 Juego de Puntas Destornillador 
48-32-1551 Set de 42pzs.
1 Rotomartillo M18 Brushless 2904-20.
2 Baterías M18 REDLITHIUM XC5.0
1 Cargador multivoltaje M18 Y M12
1 Estuche de transporte.
Instructivo y garantía.",1,$0.00,$0.00,0
260722CT,KIT DE TALADRO PERCUTOR,Milwaukee,"1Taladro Percutor 
1Destornillador Compacto 
De 1/2 “M18™ 2607-22Ct",1,$0.00,$0.00,0
427221,"KIT DE TALADRO
ELECTROMAGNÉTICO DE 1-5/8""",Milwaukee,"1 Kit de perforación electromagnética 
de 1-5/8 "" (4272-21).
1 Correa de seguridad.
1 Botella de aerosol de lubricación.
1 llave de mandril.
1 Estuche de transporte.
1 Seldón de 3/4 ""a ½"" adaptador 
de chuck.
2Pin piloto retráctil de 1 "".",1,$0.00,$0.00,0
369722,"KIT COMBINADO DE 2 HERRAMIENTAS 
M18 FUEL™",Milwaukee,"1 Taladro percutor/destornillador M18 
FUEL™ de 1/2?.
1 Destornillador de impacto hexagonal 
M18 FUEL™ de 1/4?.
2 Juego de baterías M18™ 
1 Cargador multivoltaje
1 Mango lateral.
2 Ganchos para el cinturón.
1 Estuche de transporte.",1,$0.00,$0.00,0
P423-2607,"KIT INALÁMBRICO ROTOMARTILLO 1/2""",Milwaukee,"1 ROTOMARTILLO 1/2» M18™
INCLUYE GRATIS:
1 48-89-2800 Juego de brocas con 
acabado de óxido negro 
THUNDERBOLT® de 14 piezas.
1 48-22-8902 Guantes Anticorte Nivel 
1 Bañados en Nitrilo L.",1,$0.00,$0.00,0
626821,SIERRA CALADORA ORBITAL,Dewalt,"Motor de 6.5 Amp.
Luz LED.
1 Sierra caladora orbital.
1 Estuche de transporte.
1 Protección contra el polvo.
2 Hoja.",1,$0.00,$0.00,0
"DWE40
20-B3","ESMERILADORA ANGULAR DE 4-1/2"" 800W",Dewalt,"1 Esmeriladora Angular de 4-1/2"" 
(115mm).
1 Llave de Ajuste.
1 Empuñadura Lateral.",1,$0.00,$0.00,0
DWE4120X,"ESMERILADORA ANGULAR DE 4-1/2"" 900W",Dewalt,"1 Esmeriladora Angular de 4-1/2"" 
(115mm).
1 Llave de Ajuste.
1 Empuñadura Lateral.
1 Guarda.
1 Disco Abrasivo.",1,$0.00,$0.00,0
DWE4212N,"ESMERILADORA ANGULAR DE 4-1/2"" 1200W ",Dewalt,"1 Esmeriladora Angular de 4-1/2"" 
(115mm)-5"" (125mm).
1 Llave de Ajuste.
1 Empuñadura Lateral.
1 Guarda.",1,$0.00,$0.00,0
D25260K_K1,"SIERRA CIRCULAR ELÉCTRICA DE 7-1/4"" 
1400W",Dewalt,"(1) Sierra Circular Eléctrica de 7-1/4"" 
(1) Llave de Ajuste
(1) Disco 24 dientes",1,$0.00,$0.00,0
"D25260K
-B3","ESMERILADORA ANGULAR DE 4-1/2"" 900W",Dewalt,"Velocidad sin carga: 0-1500 RPM3. 
Embrague de seguridad: en caso 
de que la broca se atasque.
empuñadura recubierta de goma 
en D.
Peso de la herramienta: 6.0 l
Rotomartillo combinado sds plus 1"". 
Mango lateral de 360º",1,$0.00,$0.00,0
"DCG412P2
_K1",KIT ESMERILADORA 20V MAX,Dewalt,"7.2 AMP.
1 Estuche
Guía de profundidad
Mango lateral de 360°",1,$0.00,$0.00,0
2555,"DISCO DE DIAMANTE PARA CORTE DE 
GRANITO Y MARMOL 4 1/2""",Austromex,"Tipo: DDD
Especificación: HUM
MAX RPM: 13,200
Velocidad (m/s): 80
Dimensiones: 4-1/2 x 0.070 x 7/8
Máquina: Esmeriladora Angular",1,$0.00,$0.00,0
3301,"DISCO DE CORTE PARA METAL DE 4 1/2""",Austromex,"Tipo: 41
Especificación: A60SBFKA
MAX RPM: 13,300
Velocidad (m/s): 80
Dimensiones: 4 1/2 x 0.04 x 7/8""
Máquina: Esmeriladora Angular",1,$0.00,$0.00,0
3302,"DISCO DE CORTE PARA CORTE ACERO INOX 
4-1/2",Austromex,"Tipo: 41
Especificación: A60RBFKA INOX
MAX RPM: 13,300
Velocidad (m/s): 80
Dimensiones: 4 1/2 x 0.04 x 7/8""
Máquina: Esmeriladora Angular",1,$0.00,$0.00,0
196,"DISCO DE METAL PARA DESBASTE DE 
MADERA 4""",Austromex,"Tipo: DM
Especificación: MADERO CURVO
MAX RPM: 13,000
Velocidad (m/s): 80
Dimensiones: 4 X 7/8""
Máquina: Esmeriladora Angular",1,$0.00,$0.00,0
594,"DISCO DE CORTE PARA METAL DE 4 1/2""",Austromex,"Tipo: 41
Especificación: A60SBFKA
MAX RPM: 13,300
Velocidad (m/s): 80
Dimensiones: 4 1/2 x 0.04 x 7/8""
Máquina: Esmeriladora Angular",1,$0.00,$0.00,0
3302,"DISCO DE CORTE PARA CORTE ACERO INOX 
4-1/2",Austromex,"Tipo: 27
Especificación: 27SL-EC
MAX RPM: 10,000
Velocidad (m/s): 80
Dimensiones: 4 1/2 X 7/8
Máquina: Esmeriladora Angular",1,$0.00,$0.00,0
1264,"ROLLO DE LIJA DE ÓXIDO DE ALUMINIO
GRANO 150",Austromex,"Tipo: 27
Especificación: Easy Cut Fina
Dimensiones: 1-1/2 x 1800""
38 x 45720 mm
Máquina: Uso manual",1,$0.00,$0.00,0
1255,"SIERRA CIRCULAR ELÉCTRICA DE 7-1/4"" 
1400W",Austromex,"Tipo: 11
Especificación: Easy Cut - C3
MAX RPM: 12,000
Dimensiones: 
3-5/32 x 1-3/4 x 5/8-11""
Máquina: Esmeriladora Angular",1,$0.00,$0.00,0
781,"DISCO DE CORTE PARA ACERO INOXIDABLE
4 1/2""",Austromex,"Tipo: 41
Especificación: A46TBF HUM
MAX RPM: 13,300
Velocidad (m/s): 80
Dimensiones: 4-1/2 x 0.040 x 7/8""
Máquina: Esmeriladora Angular",1,$0.00,$0.00,0
2560,"DISCO DE DE DIAMANTE PARA CORTE DE
GRANITO Y MARMOL",Austromex,"Tipo: DDT
Especificación: HUM
MAX RPM: 8,500
Velocidad (m/s): 80
Dimensiones: 7 x 0.095 x 7/8""
Máquina: Esmeriladora Angular",1,$0.00,$0.00,0
2882,CEPILLO CIRCULAR ONDULADO,Austromex,"Tipo: CRO
Especificación: 
AC CARBON EASY CUT
MAX RPM: 6,000
Velocidad (m/s): 80
Dimensiones: 6 x 0.014 x 1/2
Máquina: Esmeriladora Angular",1,$0.00,$0.00,0
MW-ARC,SOLDADORA INVERSOR ARC 300DV,Maraga,"Incluye: 1 Cable portaelectrodo (2M) 
1 Pinza de Tierra (2M)
Corriente de entrada: 
220 / 1 / 50-60 Hz
Rango de salida:
30 - 275 A
Peso: 13.8 Kg.",1,$0.00,$0.00,0
MW-TIG200,SOLDADORA INVERSOR MW-TIG200,Maraga,"Incluye: 1 Cable antorcha TIG 
(consumibles)
1 Pinza de Tierra 
Corriente de entrada: 
220V / 1P / 50-60 Hz
Rango de salida:
10-160A
Peso: 75 Kg.",1,$0.00,$0.00,0
90180760004,HANDY ARC 132I DV,ESAB,"Incluye: 1 Cable antorcha TIG 
(consumibles)
1 Pinza de Tierra 
Corriente de entrada: 
127 ±10% VAC , 1, 50/60 Hz
Rango de salida:
130 - 90 A
Peso: 3.5 Kg.",1,$0.00,$0.00,0
